,window,entry_z,exit_z,pnl
264,15,0.5,0.1,3118367.0
265,15,0.5,0.2142857142857143,3101782.5
266,15,0.5,0.3285714285714286,3065977.5
267,15,0.5,0.44285714285714284,3004628.5
268,15,0.5,0.5571428571428572,2939797.0
269,15,0.5,0.6714285714285715,2869133.0
270,15,0.5,0.7857142857142857,2810193.0
271,15,0.5,0.9,2761941.5
272,15,0.7,0.1,2855294.0
273,15,0.7,0.2142857142857143,2837649.5
274,15,0.7,0.3285714285714286,2803203.5
275,15,0.7,0.44285714285714284,2753294.0
276,15,0.7,0.5571428571428572,2704784.0
277,15,0.7,0.6714285714285715,2649950.0
278,15,0.7,0.7857142857142857,2586443.0
279,15,0.7,0.9,2538035.5
280,15,0.9,0.1,2564940.0
281,15,0.9,0.2142857142857143,2546035.0
282,15,0.9,0.3285714285714286,2516680.5
283,15,0.9,0.44285714285714284,2466355.5
284,15,0.9,0.5571428571428572,2422256.0
285,15,0.9,0.6714285714285715,2375624.5
286,15,0.9,0.7857142857142857,2336656.0
287,15,0.9,0.9,2292678.0
288,15,1.1,0.1,2173319.5
289,15,1.1,0.2142857142857143,2152909.5
290,15,1.1,0.3285714285714286,2124772.5
291,15,1.1,0.44285714285714284,2079087.5
292,15,1.1,0.5571428571428572,2044044.5
293,15,1.1,0.6714285714285715,2003183.5
294,15,1.1,0.7857142857142857,1970398.0
295,15,1.1,0.9,1943975.0
296,15,1.3,0.1,1847971.0
297,15,1.3,0.2142857142857143,1826075.0
298,15,1.3,0.3285714285714286,1796842.0
299,15,1.3,0.44285714285714284,1756367.0
300,15,1.3,0.5571428571428572,1724727.0
301,15,1.3,0.6714285714285715,1687847.5
302,15,1.3,0.7857142857142857,1659329.5
303,15,1.3,0.9,1639815.5
304,15,1.5,0.1,1489954.5
305,15,1.5,0.2142857142857143,1466274.0
306,15,1.5,0.3285714285714286,1438545.5
307,15,1.5,0.44285714285714284,1404153.5
308,15,1.5,0.5571428571428572,1375951.0
309,15,1.5,0.6714285714285715,1344179.5
310,15,1.5,0.7857142857142857,1324983.0
311,15,1.5,0.9,1313131.0
312,15,1.7000000000000002,0.1,1079507.0
313,15,1.7000000000000002,0.2142857142857143,1061473.0
314,15,1.7000000000000002,0.3285714285714286,1041379.5
315,15,1.7000000000000002,0.44285714285714284,1013583.5
316,15,1.7000000000000002,0.5571428571428572,992770.5
317,15,1.7000000000000002,0.6714285714285715,969282.5
318,15,1.7000000000000002,0.7857142857142857,957991.5
319,15,1.7000000000000002,0.9,953360.5
320,15,1.9000000000000001,0.1,644288.0
321,15,1.9000000000000001,0.2142857142857143,639018.5
322,15,1.9000000000000001,0.3285714285714286,629925.5
323,15,1.9000000000000001,0.44285714285714284,609716.5
324,15,1.9000000000000001,0.5571428571428572,595730.5
325,15,1.9000000000000001,0.6714285714285715,581360.0
326,15,1.9000000000000001,0.7857142857142857,575539.5
327,15,1.9000000000000001,0.9,574136.0
328,15,2.1,0.1,361099.0
329,15,2.1,0.2142857142857143,357905.5
330,15,2.1,0.3285714285714286,350093.0
331,15,2.1,0.44285714285714284,335693.0
