entry_z,exit_z,pnl,trades,win_rate,sharpe
1.1,1.0,64445610.0,8016,1.0,0.09237070160155159
1.4,0.5,64445610.0,8016,1.0,0.09237070160155159
1.1,0.8,64445610.0,8016,1.0,0.09237070160155159
0.95,0.4,64445610.0,8016,1.0,0.09237070160155159
1.1,0.7000000000000001,64445610.0,8016,1.0,0.09237070160155159
0.8,0.1,64445610.0,8016,1.0,0.09237070160155159
0.8,0.30000000000000004,64445610.0,8016,1.0,0.09237070160155159
0.8,0.4,64445610.0,8016,1.0,0.09237070160155159
0.8,0.5,64445610.0,8016,1.0,0.09237070160155159
0.8,0.6,64445610.0,8016,1.0,0.09237070160155159
0.8,0.7000000000000001,64445610.0,8016,1.0,0.09237070160155159
0.95,0.1,64445610.0,8016,1.0,0.09237070160155159
0.95,0.2,64445610.0,8016,1.0,0.09237070160155159
0.95,0.30000000000000004,64445610.0,8016,1.0,0.09237070160155159
0.8,0.2,64445610.0,8016,1.0,0.09237070160155159
0.95,0.5,64445610.0,8016,1.0,0.09237070160155159
1.1,0.2,64445610.0,8016,1.0,0.09237070160155159
0.95,0.6,64445610.0,8016,1.0,0.09237070160155159
1.1,0.6,64445610.0,8016,1.0,0.09237070160155159
1.1,0.4,64445610.0,8016,1.0,0.09237070160155159
1.1,0.30000000000000004,64445610.0,8016,1.0,0.09237070160155159
1.1,0.5,64445610.0,8016,1.0,0.09237070160155159
1.1,0.1,64445610.0,8016,1.0,0.09237070160155159
0.95,0.9,64445610.0,8016,1.0,0.09237070160155159
0.95,0.8,64445610.0,8016,1.0,0.09237070160155159
0.95,0.7000000000000001,64445610.0,8016,1.0,0.09237070160155159
1.8499999999999999,0.30000000000000004,0.0,0,0.0,0.0
1.8499999999999999,0.4,0.0,0,0.0,0.0
1.8499999999999999,0.5,0.0,0,0.0,0.0
1.8499999999999999,0.6,0.0,0,0.0,0.0
1.8499999999999999,0.7000000000000001,0.0,0,0.0,0.0
1.8499999999999999,0.8,0.0,0,0.0,0.0
1.8499999999999999,0.9,0.0,0,0.0,0.0
1.8499999999999999,1.0,0.0,0,0.0,0.0
1.8499999999999999,1.1,0.0,0,0.0,0.0
2.0,0.5,0.0,0,0.0,0.0
2.0,0.1,0.0,0,0.0,0.0
2.0,0.2,0.0,0,0.0,0.0
2.0,0.30000000000000004,0.0,0,0.0,0.0
2.0,0.4,0.0,0,0.0,0.0
2.0,0.6,0.0,0,0.0,0.0
2.0,0.7000000000000001,0.0,0,0.0,0.0
2.0,0.8,0.0,0,0.0,0.0
2.0,0.9,0.0,0,0.0,0.0
2.0,1.0,0.0,0,0.0,0.0
1.8499999999999999,0.1,0.0,0,0.0,0.0
1.8499999999999999,0.2,0.0,0,0.0,0.0
1.55,1.1,0.0,0,0.0,0.0
1.7,1.1,0.0,0,0.0,0.0
1.7,1.0,0.0,0,0.0,0.0
1.55,0.1,0.0,0,0.0,0.0
1.55,0.2,0.0,0,0.0,0.0
1.55,0.30000000000000004,0.0,0,0.0,0.0
1.55,0.4,0.0,0,0.0,0.0
1.55,0.5,0.0,0,0.0,0.0
1.55,0.6,0.0,0,0.0,0.0
1.55,0.7000000000000001,0.0,0,0.0,0.0
1.55,0.8,0.0,0,0.0,0.0
1.55,0.9,0.0,0,0.0,0.0
1.55,1.0,0.0,0,0.0,0.0
1.7,0.1,0.0,0,0.0,0.0
1.7,0.2,0.0,0,0.0,0.0
1.7,0.30000000000000004,0.0,0,0.0,0.0
1.7,0.4,0.0,0,0.0,0.0
1.7,0.5,0.0,0,0.0,0.0
1.7,0.6,0.0,0,0.0,0.0
1.7,0.7000000000000001,0.0,0,0.0,0.0
1.7,0.8,0.0,0,0.0,0.0
1.7,0.9,0.0,0,0.0,0.0
2.0,1.1,0.0,0,0.0,0.0
