,buy_z,sell_z,exit_z,pnl
359,0.9,2.5,0.7000000000000001,21.5
360,0.9,2.5,0.8,77.5
361,0.9,2.5,0.9,182.5
362,0.9,2.5,1.0,235.5
363,1.1,0.5,0.0,749.0
364,1.1,0.5,0.1,364.5
365,1.1,0.5,0.2,505.0
366,1.1,0.5,0.30000000000000004,575.0
367,1.1,0.5,0.4,654.5
368,1.1,0.5,0.5,573.5
369,1.1,0.5,0.6000000000000001,743.5
370,1.1,0.5,0.7000000000000001,697.5
371,1.1,0.5,0.8,767.0
372,1.1,0.5,0.9,925.0
373,1.1,0.5,1.0,952.5
374,1.1,0.7,0.0,330.0
375,1.1,0.7,0.1,502.5
376,1.1,0.7,0.2,566.5
377,1.1,0.7,0.30000000000000004,509.0
378,1.1,0.7,0.4,452.0
379,1.1,0.7,0.5,531.0
380,1.1,0.7,0.6000000000000001,647.5
381,1.1,0.7,0.7000000000000001,605.0
382,1.1,0.7,0.8,666.5
383,1.1,0.7,0.9,773.5
384,1.1,0.7,1.0,829.5
385,1.1,0.9,0.0,723.5
386,1.1,0.9,0.1,547.5
387,1.1,0.9,0.2,542.0
388,1.1,0.9,0.30000000000000004,475.0
389,1.1,0.9,0.4,376.0
390,1.1,0.9,0.5,450.0
391,1.1,0.9,0.6000000000000001,453.5
392,1.1,0.9,0.7000000000000001,395.0
393,1.1,0.9,0.8,454.5
394,1.1,0.9,0.9,618.5
395,1.1,0.9,1.0,805.0
396,1.1,1.1,0.0,307.5
397,1.1,1.1,0.1,389.0
398,1.1,1.1,0.2,401.5
399,1.1,1.1,0.30000000000000004,384.5
400,1.1,1.1,0.4,332.0
401,1.1,1.1,0.5,417.0
402,1.1,1.1,0.6000000000000001,430.0
403,1.1,1.1,0.7000000000000001,428.0
404,1.1,1.1,0.8,478.5
405,1.1,1.1,0.9,527.0
406,1.1,1.1,1.0,603.5
407,1.1,1.3,0.0,307.0
408,1.1,1.3,0.1,398.0
409,1.1,1.3,0.2,425.0
410,1.1,1.3,0.30000000000000004,408.0
411,1.1,1.3,0.4,355.5
412,1.1,1.3,0.5,446.5
413,1.1,1.3,0.6000000000000001,468.5
414,1.1,1.3,0.7000000000000001,435.5
415,1.1,1.3,0.8,487.5
416,1.1,1.3,0.9,596.5
417,1.1,1.3,1.0,727.0
418,1.1,1.5,0.0,251.5
419,1.1,1.5,0.1,373.5
420,1.1,1.5,0.2,412.5
421,1.1,1.5,0.30000000000000004,395.5
422,1.1,1.5,0.4,343.0
423,1.1,1.5,0.5,438.5
424,1.1,1.5,0.6000000000000001,476.0
425,1.1,1.5,0.7000000000000001,386.5
426,1.1,1.5,0.8,483.5
427,1.1,1.5,0.9,574.0
428,1.1,1.5,1.0,731.5
429,1.1,1.7000000000000002,0.0,267.0
430,1.1,1.7000000000000002,0.1,385.5
431,1.1,1.7000000000000002,0.2,467.5
432,1.1,1.7000000000000002,0.30000000000000004,450.5
433,1.1,1.7000000000000002,0.4,398.0
434,1.1,1.7000000000000002,0.5,480.0
435,1.1,1.7000000000000002,0.6000000000000001,457.0
436,1.1,1.7000000000000002,0.7000000000000001,384.5
437,1.1,1.7000000000000002,0.8,386.5
438,1.1,1.7000000000000002,0.9,451.0
439,1.1,1.7000000000000002,1.0,634.5
440,1.1,1.9000000000000001,0.0,198.5
441,1.1,1.9000000000000001,0.1,364.5
442,1.1,1.9000000000000001,0.2,325.0
443,1.1,1.9000000000000001,0.30000000000000004,320.5
444,1.1,1.9000000000000001,0.4,275.0
445,1.1,1.9000000000000001,0.5,328.5
446,1.1,1.9000000000000001,0.6000000000000001,324.5
447,1.1,1.9000000000000001,0.7000000000000001,263.5
448,1.1,1.9000000000000001,0.8,281.0
449,1.1,1.9000000000000001,0.9,371.0
450,1.1,1.9000000000000001,1.0,605.0
451,1.1,2.1,0.0,-412.0
452,1.1,2.1,0.1,20.5
453,1.1,2.1,0.2,14.0
454,1.1,2.1,0.30000000000000004,11.0
455,1.1,2.1,0.4,-0.5
456,1.1,2.1,0.5,8.5
457,1.1,2.1,0.6000000000000001,28.5
458,1.1,2.1,0.7000000000000001,20.0
459,1.1,2.1,0.8,45.0
460,1.1,2.1,0.9,156.5
461,1.1,2.1,1.0,291.0
462,1.1,2.3,0.0,-412.0
463,1.1,2.3,0.1,20.5
464,1.1,2.3,0.2,14.0
