buy_z,sell_z,exit_z,pnl,sharpe
0.4,0.9,0.3,3580.0,0.17654088814073518
0.4,0.9,0.35000000000000003,3320.0,0.1648771859662521
0.4,0.9,0.4,3320.0,0.16599208197132065
0.4,1.0,0.05,4180.0,0.1977311138721629
0.4,1.0,0.1,4050.0,0.1926017830646537
0.4,1.0,0.15000000000000002,4100.0,0.1985923702667768
0.4,1.0,0.2,3990.0,0.1946961562691341
0.4,1.0,0.25,3920.0,0.19569227666080244
0.4,1.0,0.3,3860.0,0.19480587802935784
0.4,1.0,0.35000000000000003,3600.0,0.18303038960115375
0.4,1.0,0.4,3600.0,0.18432818369800918
0.4,1.1,0.05,4470.0,0.21221336419788117
0.4,1.1,0.1,4340.0,0.20714675135412286
0.4,1.1,0.15000000000000002,4390.0,0.21344492551446753
0.4,1.1,0.2,4280.0,0.20965018722119838
0.4,1.1,0.25,4210.0,0.2110156804489011
0.4,1.1,0.3,4150.0,0.21030342633743465
0.4,1.1,0.35000000000000003,3890.0,0.19860039276791874
0.4,1.1,0.4,3890.0,0.200020499682268
0.4,1.2000000000000002,0.05,3660.0,0.18517186067826835
0.4,1.2000000000000002,0.1,3560.0,0.1811972886293705
0.4,1.2000000000000002,0.15000000000000002,3660.0,0.18826053331573173
0.4,1.2000000000000002,0.2,3600.0,0.18667927040406568
0.4,1.2000000000000002,0.25,3610.0,0.1887356917196907
0.4,1.2000000000000002,0.3,3580.0,0.18928214000194157
0.4,1.2000000000000002,0.35000000000000003,3410.0,0.18145274316280563
0.4,1.2000000000000002,0.4,3470.0,0.18597968006982363
0.4,1.3,0.05,3670.0,0.18889698526261123
0.4,1.3,0.1,3570.0,0.18489567140960683
0.4,1.3,0.15000000000000002,3670.0,0.19216086687982734
0.4,1.3,0.2,3610.0,0.19061180371370476
0.4,1.3,0.25,3620.0,0.19276860385030942
0.4,1.3,0.3,3590.0,0.193413500726948
0.4,1.3,0.35000000000000003,3420.0,0.18548479923656214
0.4,1.3,0.4,3480.0,0.1901562782874114
0.4,1.4,0.05,3870.0,0.2045528435900162
0.4,1.4,0.1,3770.0,0.20057815480374028
0.4,1.4,0.15000000000000002,3870.0,0.20828538196674065
0.4,1.4,0.2,3810.0,0.20688280898155545
0.4,1.4,0.25,3820.0,0.2092965429778038
0.4,1.4,0.3,3790.0,0.21023406276425466
0.4,1.4,0.35000000000000003,3620.0,0.202226017131198
0.4,1.4,0.4,3680.0,0.20721688899699856
0.4,1.5,0.05,4000.0,0.21532415611410075
0.4,1.5,0.1,3900.0,0.21137410589104777
0.4,1.5,0.15000000000000002,4000.0,0.2194037176859839
0.4,1.5,0.2,3940.0,0.21811324919452504
0.4,1.5,0.25,3950.0,0.2207177052489239
0.4,1.5,0.3,3920.0,0.22187549331663894
0.4,1.5,0.35000000000000003,3750.0,0.21381889321723607
0.4,1.5,0.4,3810.0,0.2190453143144172
0.5,0.6000000000000001,0.05,2770.0,0.12667933651073462
0.5,0.6000000000000001,0.1,2810.0,0.12912751811097659
0.5,0.6000000000000001,0.15000000000000002,3110.0,0.14525942850342183
0.5,0.6000000000000001,0.2,3260.0,0.15374052496147553
0.5,0.6000000000000001,0.25,3780.0,0.1811924591625476
0.5,0.6000000000000001,0.3,3690.0,0.17949155380393828
0.5,0.6000000000000001,0.35000000000000003,3320.0,0.1631804383342277
0.5,0.6000000000000001,0.4,2920.0,0.14480677117360632
0.5,0.7000000000000001,0.05,3170.0,0.14865005749279225
0.5,0.7000000000000001,0.1,2900.0,0.13627192115725467
0.5,0.7000000000000001,0.15000000000000002,2960.0,0.1410135945346178
0.5,0.7000000000000001,0.2,2930.0,0.14047713425685124
0.5,0.7000000000000001,0.25,3160.0,0.15462341385827286
0.5,0.7000000000000001,0.3,3210.0,0.15875104035568022
0.5,0.7000000000000001,0.35000000000000003,2950.0,0.14676589280758845
0.5,0.7000000000000001,0.4,2710.0,0.1356708374644067
0.5,0.8,0.05,3270.0,0.1545953387992083
0.5,0.8,0.1,3000.0,0.14213048309466028
0.5,0.8,0.15000000000000002,3060.0,0.14701043740781045
0.5,0.8,0.2,3030.0,0.1465161311084394
0.5,0.8,0.25,3020.0,0.14888842202861496
0.5,0.8,0.3,3110.0,0.1549552752271324
0.5,0.8,0.35000000000000003,2870.0,0.14385764868802042
0.5,0.8,0.4,2670.0,0.13466426202032078
0.5,0.9,0.05,3550.0,0.16812979771846537
0.5,0.9,0.1,3280.0,0.15567199035036383
0.5,0.9,0.15000000000000002,3340.0,0.1607554800506762
0.5,0.9,0.2,3310.0,0.16035175395480722
0.5,0.9,0.25,3300.0,0.1630056249633634
0.5,0.9,0.3,3390.0,0.16923817131223376
0.5,0.9,0.35000000000000003,3150.0,0.15820648542426616
0.5,0.9,0.4,2950.0,0.14908580907787433
0.5,1.0,0.05,3830.0,0.1852978415433949
0.5,1.0,0.1,3560.0,0.17261627351562914
0.5,1.0,0.15000000000000002,3620.0,0.17811193391265712
0.5,1.0,0.2,3590.0,0.1778416239956359
0.5,1.0,0.25,3580.0,0.18099154258371655
0.5,1.0,0.3,3670.0,0.18761737283271138
0.5,1.0,0.35000000000000003,3430.0,0.1764590133170716
0.5,1.0,0.4,3230.0,0.16725780004012447
0.5,1.1,0.05,4120.0,0.2000816451088217
