,buy_z,sell_z,max_z,pnl
86,1.0,0.5,1.5,292976877.5
87,0.7000000000000001,0.8,1.5,292911740.0
88,0.4,0.30000000000000004,2.0,292122356.0
89,0.9,0.7000000000000001,1.5,290990690.0
90,0.1,0.9,1.5,290178138.0
91,0.1,0.5,2.0,290117216.0
92,0.2,0.9,1.5,289975245.0
93,0.2,0.5,2.0,289953478.0
94,1.0,0.6,1.5,289921951.5
95,0.4,0.4,2.0,289578987.0
96,0.30000000000000004,0.9,1.5,289284602.0
97,0.8,0.8,1.5,288741808.0
98,0.30000000000000004,0.5,2.0,288680097.0
99,0.5,0.1,2.0,288392056.0
100,0.5,0.2,2.0,288072692.0
101,0.5,0.30000000000000004,2.0,287058963.0
102,0.4,0.9,1.5,286809057.0
103,0.5,0.4,2.0,284785574.0
104,0.4,0.5,2.0,284453606.0
105,0.5,0.9,1.5,284195815.0
106,0.6,0.1,2.0,284130908.0
107,0.6,0.2,2.0,283828118.0
108,0.2,0.6,2.0,283669117.0
109,0.1,0.6,2.0,283532380.0
110,0.6,0.30000000000000004,2.0,282824765.0
111,0.30000000000000004,0.6,2.0,282721086.0
112,0.9,0.8,1.5,282282262.0
113,1.0,0.7000000000000001,1.5,281796494.0
114,0.6,0.9,1.5,281275105.0
115,0.6,0.4,2.0,280682793.0
116,0.7000000000000001,0.1,2.0,280368516.0
117,0.7000000000000001,0.2,2.0,280038085.0
118,0.5,0.5,2.0,279897465.0
119,0.7000000000000001,0.9,1.5,279747983.0
120,0.7000000000000001,0.30000000000000004,2.0,279168025.0
121,0.4,0.6,2.0,278855892.0
122,0.7000000000000001,0.4,2.0,277305396.0
123,0.8,0.9,1.5,276521711.0
124,0.6,0.5,2.0,276176747.0
125,0.5,0.6,2.0,274727934.0
126,0.8,0.1,2.0,274267854.0
127,0.8,0.2,2.0,273947658.0
128,1.0,0.8,1.5,273675073.0
129,0.7000000000000001,0.5,2.0,273566456.0
130,0.8,0.30000000000000004,2.0,273281139.0
131,0.1,1.0,1.5,273220973.0
132,0.2,0.7000000000000001,2.0,273041473.0
133,0.2,1.0,1.5,272990029.0
134,0.1,0.7000000000000001,2.0,272908018.0
135,0.30000000000000004,1.0,1.5,272583357.0
136,0.30000000000000004,0.7000000000000001,2.0,272316544.0
137,0.8,0.4,2.0,271825669.0
138,0.6,0.6,2.0,271399893.0
139,0.9,0.9,1.5,271163926.0
140,0.4,1.0,1.5,270604452.0
141,0.4,0.7000000000000001,2.0,269292296.0
142,0.7000000000000001,0.6,2.0,269247392.0
143,0.8,0.5,2.0,268971966.0
144,0.5,1.0,1.5,268343054.0
145,0.5,0.7000000000000001,2.0,266183301.0
146,0.6,1.0,1.5,266161470.0
147,0.8,0.6,2.0,265123458.0
148,0.7000000000000001,1.0,1.5,264855425.0
149,0.9,0.1,2.0,264258947.0
150,0.9,0.2,2.0,264074067.0
151,0.9,0.30000000000000004,2.0,263703223.0
152,0.2,0.8,2.0,263524513.0
153,0.1,0.8,2.0,263403719.0
154,1.0,0.9,1.5,263291476.0
155,0.6,0.7000000000000001,2.0,263125905.0
156,0.30000000000000004,0.8,2.0,262890458.0
157,0.9,0.4,2.0,262674547.0
158,0.8,1.0,1.5,261922271.0
159,0.7000000000000001,0.7000000000000001,2.0,261236693.0
160,0.9,0.5,2.0,261123890.0
161,0.4,0.8,2.0,260391990.0
