window,z_entry,z_exit,total_profit,trades,avg_profit,win_rate
9,2.0,0.1,-126.0,15,-8.4,0.26666666666666666
9,2.0,0.3,-206.0,25,-8.24,0.24
9,2.0,0.5,-336.0,33,-10.181818181818182,0.2727272727272727
9,2.0,0.7,-379.0,33,-11.484848484848484,0.18181818181818182
9,2.0,0.9,-356.0,36,-9.88888888888889,0.19444444444444445
9,2.2,0.1,-243.0,7,-34.714285714285715,0.0
9,2.2,0.3,-79.0,9,-8.777777777777779,0.0
9,2.2,0.5,-80.0,10,-8.0,0.2
9,2.2,0.7,-78.0,10,-7.8,0.0
9,2.2,0.9,-61.0,11,-5.545454545454546,0.09090909090909091
9,2.4,0.1,-104.0,3,-34.666666666666664,0.0
9,2.4,0.3,-59.0,4,-14.75,0.0
9,2.4,0.5,-55.0,5,-11.0,0.2
9,2.4,0.7,-49.0,5,-9.8,0.0
9,2.4,0.9,-49.0,5,-9.8,0.0
10,0.8,0.1,-40.0,29,-1.3793103448275863,0.4482758620689655
10,0.8,0.3,-261.0,67,-3.8955223880597014,0.34328358208955223
10,0.8,0.5,-595.0,93,-6.397849462365591,0.3010752688172043
10,0.8,0.7,-686.0,119,-5.764705882352941,0.29411764705882354
10,0.8,0.9,-733.0,134,-5.470149253731344,0.26865671641791045
10,1.0,0.1,-36.0,28,-1.2857142857142858,0.5
10,1.0,0.3,-170.0,64,-2.65625,0.40625
10,1.0,0.5,-471.0,88,-5.3522727272727275,0.3409090909090909
10,1.0,0.7,-535.0,111,-4.81981981981982,0.3333333333333333
10,1.0,0.9,-520.0,124,-4.193548387096774,0.3064516129032258
10,1.2,0.1,-84.0,28,-3.0,0.5
10,1.2,0.3,-167.0,58,-2.8793103448275863,0.41379310344827586
10,1.2,0.5,-484.0,80,-6.05,0.3375
10,1.2,0.7,-537.0,98,-5.479591836734694,0.3163265306122449
10,1.2,0.9,-516.0,109,-4.73394495412844,0.28440366972477066
10,1.4,0.1,-97.0,28,-3.4642857142857144,0.4642857142857143
10,1.4,0.3,-122.0,55,-2.2181818181818183,0.38181818181818183
10,1.4,0.5,-371.0,72,-5.152777777777778,0.3055555555555556
10,1.4,0.7,-505.0,88,-5.738636363636363,0.2727272727272727
10,1.4,0.9,-490.0,98,-5.0,0.24489795918367346
10,1.6,0.1,-210.0,24,-8.75,0.3333333333333333
10,1.6,0.3,-156.0,46,-3.391304347826087,0.32608695652173914
10,1.6,0.5,-346.0,58,-5.9655172413793105,0.2413793103448276
10,1.6,0.7,-449.0,70,-6.414285714285715,0.21428571428571427
10,1.6,0.9,-497.0,77,-6.454545454545454,0.16883116883116883
10,1.8,0.1,-196.0,23,-8.521739130434783,0.34782608695652173
10,1.8,0.3,-154.0,41,-3.7560975609756095,0.34146341463414637
10,1.8,0.5,-445.0,51,-8.72549019607843,0.21568627450980393
10,1.8,0.7,-480.0,58,-8.275862068965518,0.1896551724137931
10,1.8,0.9,-466.0,63,-7.396825396825397,0.15873015873015872
10,2.0,0.1,-205.0,20,-10.25,0.35
10,2.0,0.3,-223.0,36,-6.194444444444445,0.3333333333333333
10,2.0,0.5,-397.0,39,-10.179487179487179,0.20512820512820512
10,2.0,0.7,-430.0,42,-10.238095238095237,0.11904761904761904
10,2.0,0.9,-364.0,44,-8.272727272727273,0.13636363636363635
10,2.2,0.1,-132.0,15,-8.8,0.26666666666666666
