window,band_width,total_profit,trades,avg_profit,win_rate
18,1.1,2222.0,3980,0.5582914572864321,0.8065326633165829
18,1.2000000000000002,2200.5,3850,0.5715584415584416,0.8072727272727273
18,1.3000000000000003,2228.0,3684,0.6047774158523345,0.8086319218241043
18,1.4000000000000004,2176.0,3486,0.6242111302352267,0.7980493402180149
18,1.5000000000000004,1982.5,3204,0.6187578027465668,0.7911985018726592
18,1.6000000000000005,1900.0,2895,0.6563039723661486,0.7934369602763385
18,1.7000000000000006,1680.0,2540,0.6614173228346457,0.794488188976378
18,1.8000000000000007,1416.5,2195,0.6453302961275627,0.7826879271070615
18,1.9000000000000008,1174.0,1858,0.6318622174381054,0.7852529601722282
18,2.000000000000001,970.5,1551,0.625725338491296,0.7743391360412637
18,2.100000000000001,808.0,1266,0.6382306477093207,0.7606635071090048
18,2.200000000000001,600.5,1009,0.5951437066402379,0.7274529236868187
18,2.300000000000001,568.0,821,0.6918392204628502,0.7344701583434835
18,2.4000000000000012,406.0,645,0.6294573643410852,0.7131782945736435
18,2.5000000000000013,322.5,481,0.6704781704781705,0.7047817047817048
18,2.6000000000000014,256.0,362,0.7071823204419889,0.7071823204419889
18,2.7000000000000015,196.0,270,0.725925925925926,0.6777777777777778
18,2.8000000000000016,157.5,201,0.7835820895522388,0.681592039800995
18,2.9000000000000017,125.0,143,0.8741258741258742,0.6993006993006993
18,3.0000000000000018,113.0,95,1.1894736842105262,0.7157894736842105
19,1.0,2063.5,3979,0.5185976375973863,0.808243277205328
19,1.1,2111.5,3885,0.5435006435006435,0.806949806949807
19,1.2000000000000002,2124.0,3776,0.5625,0.8045550847457628
19,1.3000000000000003,2087.0,3595,0.580528511821975,0.8086230876216968
19,1.4000000000000004,2069.0,3425,0.604087591240876,0.8002919708029197
19,1.5000000000000004,1942.0,3156,0.6153358681875792,0.7949936628643853
19,1.6000000000000005,1844.5,2850,0.6471929824561403,0.791578947368421
19,1.7000000000000006,1705.0,2517,0.6773937226857369,0.7941994437822805
19,1.8000000000000007,1444.0,2170,0.6654377880184332,0.7861751152073733
19,1.9000000000000008,1153.5,1859,0.6204948897256589,0.7821409359870898
19,2.000000000000001,986.5,1553,0.6352221506761108,0.7746297488731487
19,2.100000000000001,793.0,1279,0.6200156372165755,0.7568412822517592
19,2.200000000000001,660.0,1023,0.6451612903225806,0.7380254154447703
19,2.300000000000001,521.5,823,0.6336573511543135,0.7278250303766707
19,2.4000000000000012,444.0,667,0.6656671664167916,0.7271364317841079
19,2.5000000000000013,323.5,518,0.6245173745173745,0.7123552123552124
19,2.6000000000000014,310.0,390,0.7948717948717948,0.7205128205128205
19,2.7000000000000015,205.5,287,0.7160278745644599,0.686411149825784
19,2.8000000000000016,141.0,208,0.6778846153846154,0.6538461538461539
19,2.9000000000000017,126.5,149,0.8489932885906041,0.7046979865771812
19,3.0000000000000018,103.0,106,0.9716981132075472,0.6886792452830188
20,1.0,1907.5,3877,0.492004126902244,0.8101624967758576
20,1.1,2029.0,3838,0.5286607608129233,0.8066701406982804
20,1.2000000000000002,2146.5,3712,0.5782596982758621,0.8046875
20,1.3000000000000003,2064.0,3541,0.5828861903417114,0.8068342276193166
20,1.4000000000000004,2056.5,3362,0.6116894705532421,0.8033908387864367
20,1.5000000000000004,1974.0,3117,0.6333012512030799,0.7965992941931345
20,1.6000000000000005,1798.5,2834,0.6346153846153846,0.7882851093860268
20,1.7000000000000006,1664.0,2499,0.6658663465386154,0.7911164465786314
20,1.8000000000000007,1447.5,2161,0.6698287829708468,0.7889865802869042
20,1.9000000000000008,1208.0,1869,0.64633493846977,0.7849117174959872
20,2.000000000000001,1017.5,1559,0.6526619627966646,0.7767799871712636
20,2.100000000000001,848.0,1304,0.6503067484662577,0.7668711656441718
20,2.200000000000001,659.5,1039,0.634744947064485,0.7420596727622714
20,2.300000000000001,506.5,834,0.6073141486810552,0.7314148681055156
20,2.4000000000000012,431.5,657,0.6567732115677322,0.7245053272450532
20,2.5000000000000013,345.0,517,0.6673114119922631,0.723404255319149
20,2.6000000000000014,282.0,407,0.6928746928746928,0.7051597051597052
20,2.7000000000000015,252.5,299,0.8444816053511706,0.7190635451505016
20,2.8000000000000016,183.0,222,0.8243243243243243,0.6981981981981982
20,2.9000000000000017,155.0,164,0.9451219512195121,0.6951219512195121
20,3.0000000000000018,116.5,112,1.0401785714285714,0.7053571428571429
21,1.0,1944.0,3845,0.505591677503251,0.8137841352405721
21,1.1,2021.0,3766,0.5366436537440255,0.8106744556558683
21,1.2000000000000002,2057.5,3638,0.5655579989004947,0.8051126992853216
21,1.3000000000000003,2028.0,3472,0.5841013824884793,0.8058755760368663
21,1.4000000000000004,1958.0,3302,0.5929739551786796,0.8082980012113871
21,1.5000000000000004,1836.0,3043,0.6033519553072626,0.7959250739401906
21,1.6000000000000005,1714.5,2776,0.6176152737752162,0.7892651296829971
21,1.7000000000000006,1578.0,2453,0.6432939258051366,0.7843456991439054
21,1.8000000000000007,1392.5,2136,0.6519194756554307,0.7860486891385767
21,1.9000000000000008,1152.5,1835,0.6280653950953679,0.7825613079019074
21,2.000000000000001,989.0,1570,0.629936305732484,0.7757961783439491
21,2.100000000000001,813.0,1281,0.6346604215456675,0.7642466822794691
21,2.200000000000001,653.0,1042,0.6266794625719769,0.7485604606525912
21,2.300000000000001,568.5,850,0.6688235294117647,0.7364705882352941
21,2.4000000000000012,405.0,664,0.6099397590361446,0.7319277108433735
21,2.5000000000000013,368.0,531,0.6930320150659134,0.7288135593220338
21,2.6000000000000014,289.5,426,0.6795774647887324,0.7112676056338029
21,2.7000000000000015,249.0,326,0.7638036809815951,0.7024539877300614
21,2.8000000000000016,198.0,239,0.8284518828451883,0.7112970711297071
21,2.9000000000000017,152.0,176,0.8636363636363636,0.6875
21,3.0000000000000018,119.0,126,0.9444444444444444,0.6825396825396826
22,1.0,1947.5,3778,0.5154843832715723,0.8141874007411328
22,1.1,1925.5,3686,0.5223819858925665,0.8087357569180683
22,1.2000000000000002,1965.5,3558,0.5524170882518269,0.8074761101742552
22,1.3000000000000003,1970.0,3409,0.5778820768553828,0.8040481079495453
